date,site,ground_cover,grade,damage_rating,
8/6/2025,RS,I,1,1,
8/6/2025,RS,I,2,1,
8/6/2025,RS,I,2,1,
8/6/2025,RS,I,2,1,
8/6/2025,RS,I,can,1,
8/6/2025,RS,I,can,1,
8/6/2025,RS,I,can,1,
8/6/2025,RS,I,can,1,
8/6/2025,RS,I,can,1,
8/6/2025,RS,I,UM,2,
8/6/2025,RS,I,UM,1,
8/6/2025,RS,H,1,1,
8/6/2025,RS,H,2,2,
8/6/2025,RS,H,2,2,
8/6/2025,RS,H,2,2,
8/6/2025,RS,H,can,2,
8/6/2025,RS,H,can,1,
8/6/2025,RS,H,can,1,
8/6/2025,RS,K,can,2,
8/6/2025,RS,K,can,2,
8/6/2025,RS,K,can,1,
8/6/2025,RS,K,can,1,
8/6/2025,RS,K,can,1,
8/6/2025,RS,L,can,1,
8/6/2025,RS,L,can,1,
8/6/2025,RS,L,can,2,
8/6/2025,RS,L,can,1,
8/6/2025,RS,L,can,1,
8/6/2025,RS,H,2,1,
8/6/2025,RS,H,can,2,
8/6/2025,RS,H,can,3,
8/6/2025,RS,H,can,2,
8/6/2025,RS,H,can,1,
8/6/2025,RS,H,can,0,
8/6/2025,RS,H,UM,0,
8/15/2025,RS,G,can,1,
8/15/2025,RS,H,2,1,
8/15/2025,RS,H,2,0,
8/15/2025,RS,H,can,1,
8/15/2025,RS,H,can,2,
8/15/2025,RS,H,can,1,
8/15/2025,RS,H,UM,0,misshappen
8/15/2025,RS,H,2,1,
8/15/2025,RS,H,2,2,
8/15/2025,RS,H,2,3,
8/15/2025,RS,H,2,0,
8/15/2025,RS,H,2,1,
8/15/2025,RS,H,can,2,
8/15/2025,RS,H,2,1,
8/15/2025,RS,I,can,1,
8/15/2025,RS,I,can,1,
8/15/2025,RS,I,can,1,
8/15/2025,RS,I,2,0,
8/15/2025,RS,I,can,0,
8/15/2025,RS,I,can,1,
8/15/2025,RS,I,2,1,
8/15/2025,RS,I,can,0,
8/15/2025,RS,I,2,0,
8/15/2025,RS,J,can,1,
8/15/2025,RS,J,can,2,
8/15/2025,RS,K,can,2,
8/15/2025,RS,K,can,2,
8/15/2025,RS,K,can,3,
8/15/2025,RS,K,can,1,
8/15/2025,RS,K,can,0,
8/15/2025,RS,K,can,1,
